system_id,geocode,Bus  Number,Bus  Name,latitude,longitude,county,state,tzoffset,azimuth,tilt,power,tracking,module_type,min_measured_date,max_measured_date,backtracking,mount_type
91,9rpbwn,2604,INTERMT,39.500381,-112.580826,9rpccm,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
92,9rwgcr,6101,MIDPOINT,42.888986,-114.199277,9rwud3,ID,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
93,9rx7st,6103,BORAH,42.835449,-113.348619,9rx5y1,ID,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
94,9w01f3,1402,WESTWING,34.067027,-112.396715,9qpvn0,AZ,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
95,9w1wf0,1102,CHOLLA,34.940278,-110.300278,9w393d,AZ,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
96,9w1zzg,1101,CORONADO,35.131373,-109.690674,9w61k3,AZ,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
97,9w3h8n,1201,MOENKOPI,35.985019,-111.090655,9w2ebd,AZ,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
98,9w94m0,1202,NAVAJO,36.961002,-110.864429,9w8kp9,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
99,9wbmjr,6507,SIGURD,38.887109,-111.917677,9wbkrt,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
100,9wdb95,1001,FOURCORN,36.670897,-108.581419,9w6zxn,NM,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
101,9wdr2q,6505,PINTO,37.870747,-109.314458,9w9vvt,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
102,9we1bp,1004,SAN JUAN,36.910483,-108.278462,9w6zxn,NM,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
103,9wve62,7001,COLOEAST,38.542595,-104.660626,9wvsvk,CO,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
104,9x06gc,6504,MONA,39.868637,-111.977164,9x0s4z,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
105,9x0gc5,6508,SPAN FRK,40.053045,-111.394196,9x0s4z,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
106,9x0mgn,6502,CAMP WIL,40.42316497,-112.008,9x0rm5,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
107,9x0ryy,6509,TERMINAL,40.772832,-111.846293,9x0rm5,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
108,9x27ep,6501,BENLOMND,41.439081,-112.006907,9x26y1,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
109,9x3mfn,6305,NAUGHTON,41.826887,-110.64461,9x921r,WY,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
110,9x47er,6503,EMERY,40.030278,-109.188333,9x4h7b,UT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
111,9x5w98,7002,CRAIG,40.521809,-107.506652,9x5ym3,CO,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
112,9x6z6m,6301,BRIDGER,42.083869,-108.529745,9x6t42,WY,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
113,9xkgmv,6302,LARAMIE,41.383369,-105.567246,9xkv40,WY,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
114,c21g7u,4007,CELILOCA,45.594757,-121.113585,c24hgw,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
115,c21g7y,4006,BIG EDDY,45.60664,-121.115583,c24hgw,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
116,c237sz,4202,WCASCADE,47.065363,-121.779859,c235sm,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
117,c245ue,4005,JOHN DAY,45.677819,-120.733553,c24hgw,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
118,c26crp,4102,HANFORD,46.669392,-119.573343,c25nbr,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
119,c2967d,4201,NORTH,48.22276,-121.837459,c2933q,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
120,c2c10y,5001,CANADA,49.429986,-122.303722,c29mge,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
121,c2e2u0,4101,COULEE,47.947893,-118.996055,c27y9q,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
122,c2kx95,4103,BELL,47.746353,-117.373738,c2kwbm,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
123,c2r8x7,6202,GARRISON,46.515909,-112.878383,c2rdqp,MT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
124,c2u6xt,5003,CA230TO,49.686968,-117.438199,c2sshm,WA,-8,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
125,c82vu4,6205,MONTANA,47.432975,-111.260716,c82v4j,MT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
126,c8h5zm,6201,COLSTRP,45.689474,-106.552322,c8hnst,MT,-7,180,20,1000,FALSE,mono-Si,1/1/2018,12/31/2022,FALSE,ground
