Unnamed: 0,state,county,name,year,model,capacity[MW],hub_height[m],rotor_diameter[m],longitude_gen,latitude_gen,latitude_county,longitude_county,geohash,elevation[m],gentype,cut_in_wind_speed[m/s],rated_wind_speed[m/s],cut_out_wind_speed[m/s],max_rotor_speed[rd/min],drivetrain_design,min_measured_date,max_measured_date
81,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391891,35.019196,35.369809,-118.941786,9q5sgb,1659.610107,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
82,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.384361,35.027653,35.369809,-118.941786,9q5sgb,1628.751953,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
83,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.391586,35.020596,35.369809,-118.941786,9q5sgb,1655.644409,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
84,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.390884,35.050995,35.369809,-118.941786,9q5sgb,1533.534058,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
85,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.372086,35.032795,35.369809,-118.941786,9q5sgb,1406.245239,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
86,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.347191,35.027393,35.369809,-118.941786,9q5sgb,1272.256104,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
87,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.372185,35.027096,35.369809,-118.941786,9q5sgb,1475.156128,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
88,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.364189,35.028095,35.369809,-118.941786,9q5sgb,1349.479004,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
89,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.348686,35.025295,35.369809,-118.941786,9q5sgb,1243.138672,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
90,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.37973,35.045631,35.369809,-118.941786,9q5sgb,1379.332764,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
91,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.358185,35.037193,35.369809,-118.941786,9q5sgb,1324.978882,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
92,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.361389,35.020676,35.369809,-118.941786,9q5sgb,1319.552002,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
93,CA,Kern,Alta I,2010.0,GE1.5-77,1.5,80.0,77.0,-118.360291,35.035496,35.369809,-118.941786,9q5sgb,1307.050171,GE1.5-77,3.5,12.0,25.0,20.4,3 Stage Planetary,1/1/2018,12/30/2022
