,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long,geohash
70,3931,NH,1212.0,72.471,1284.0,-946,1.07,3921,2875.0,0.0,0.2,0.0,0.0,1,1,100,2875.0,0,1,1,,,,,,,,,,3931,ROUND MT,40.808138,-121.936762,9r321k
71,3932,S,1355.0,-242.757,1150.0,-500,1.0,3902,1426.0,0.0,0.2,0.0,0.0,1,1,100,1426.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3932,MOSSLAND,36.737604,-121.732796,9q92vz
72,3933,CG,404.88,88.652,363.0,-82,1.02,3933,865.0,0.0,0.2,0.0,0.0,1,1,100,865.0,0,1,1,,,,,,,,,,3933,TESLA,37.71247,-121.565283,9q9w99
73,3933,NB,161.484,77.0,77.0,-55,1.02,3933,345.0,0.0,0.2,0.0,0.0,1,1,100,345.0,0,1,1,,,,,,,,,,3933,TESLA,37.71247,-121.565283,9q9w99
74,3933,ND,0.0,0.0,0.5,0,1.02,3933,100.0,0.0,0.2,0.0,0.0,1,0,100,0.0,-449,1,1,,,,,,,,,,3933,TESLA,37.71247,-121.565283,9q9w99
75,3933,NG,901.97,88.652,500.0,-307,1.02,3933,1927.0,0.0,0.2,0.0,0.0,1,1,100,1927.0,0,1,1,,,,,,,,,,3933,TESLA,37.71247,-121.565283,9q9w99
76,3933,NH,1275.022,88.652,1256.0,-1041,1.02,3933,2774.0,0.0,0.2,0.0,0.0,1,1,100,2724.0,0,1,1,,,,,,,,,,3933,TESLA,37.71247,-121.565283,9q9w99
77,3933,NW,346.372,88.652,200.0,-200,1.02,3933,740.0,0.0,0.2,0.0,0.0,1,1,100,740.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3933,TESLA,37.71247,-121.565283,9q9w99
78,3933,S,623.937,88.652,800.0,-500,1.02,3933,1333.0,0.0,0.2,0.0,0.0,1,1,100,1333.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,3933,TESLA,37.71247,-121.565283,9q9w99
79,4031,G,892.801,-168.528,502.0,-502,1.08,4001,2710.0,0.0,0.2,0.0,0.0,1,1,100,2710.0,0,1,1,,,,,,,,,,4031,MALIN,42.004704,-121.318052,9r3wzq
