,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
3531.0,109.0,2.0,0.0,0.0,0.0,0.0,2.0,0.920907,0.698204,20.0,2.0,1.2,0.8
3631.0,111.0,2.0,0.0,0.0,0.0,0.0,2.0,0.928103,-2.05828,20.0,2.0,1.2,0.8
3731.0,113.0,2.0,0.0,0.0,0.0,0.0,1.0,0.934865,-0.0452448,20.0,9.0,1.2,0.8
6402.0,218.0,1.0,484.723,-188.075,0.0,0.0,1.0,0.930559,-0.486815,115.0,9.0,1.2,0.8
3831.0,120.0,2.0,0.0,0.0,0.0,0.0,2.0,0.939887,2.28977,20.0,2.0,1.2,0.8
3835.0,121.0,2.0,0.0,0.0,0.0,0.0,2.0,0.941154,2.4388,20.0,2.0,1.2,0.8
3836.0,122.0,2.0,0.0,0.0,0.0,0.0,2.0,0.940849,2.85603,20.0,2.0,1.2,0.8
3932.0,157.0,2.0,0.0,0.0,0.0,0.0,2.0,0.922741,0.883175,20.0,2.0,1.2,0.8
3931.0,156.0,2.0,0.0,0.0,0.0,0.0,2.0,0.910171,-1.45871,20.0,2.0,1.2,0.8
3933.0,158.0,2.0,0.0,0.0,0.0,0.0,2.0,0.918281,0.0,20.0,2.0,1.2,0.8
4031.0,169.0,2.0,0.0,0.0,0.0,0.0,3.0,0.89067,-1.92335,20.0,11.0,1.2,0.8
4035.0,170.0,2.0,0.0,0.0,0.0,0.0,3.0,0.867793,-3.61892,20.0,11.0,1.2,0.8
4039.0,171.0,2.0,0.0,0.0,0.0,0.0,3.0,0.869328,-4.09648,20.0,13.0,1.2,0.8
