fips,county,latitude,longitude,state
08097,Pitkin,39.231757,-106.908716,CO
08099,Prowers,38.083029,-102.548624,CO
08101,Pueblo,38.265773,-104.646976,CO
08103,Rio Blanco,40.05108,-108.268744,CO
08105,Rio Grande,37.61185,-106.242067,CO
08107,Routt,40.455504,-106.89741,CO
08109,Saguache,37.925349,-106.006105,CO
08111,San Juan,37.801877,-107.673598,CO
08113,San Miguel,37.971818,-107.958108,CO
08115,Sedgwick,40.962161,-102.325673,CO
08117,Summit,39.572383,-106.055673,CO
08119,Teller,38.944782,-105.139899,CO
08121,Washington,40.098312,-103.157119,CO
08123,Weld,40.322426,-104.807009,CO
08125,Yuma,40.065848,-102.480825,CO
48141,El Paso,31.783025,-106.365548,TX
46033,Custer,43.740721,-103.514861,SD
46047,Fall River,43.387361,-103.513072,SD
46081,Lawrence,44.453405,-103.805876,SD
