name,unit,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
McGrath Peaker power station,1,50,GT,2012,,34.205556,-119.2469,Ventura,California
Mesquite generating station block 1,BLK1,692,CC,2003,,33.345,-112.8642,Maricopa,Arizona
Mesquite generating station block 2,BLK2,692,CC,2003,,33.345047,-112.8642,Maricopa,Arizona
Metcalf energy center,CC1,635,CC,2005,,37.2207,-121.7457,Santa Clara,California
Midway Peaking power station,1,70,GT,2009,,36.654114,-120.5797,Fresno,California
Midway Peaking power station,2,70,GT,2009,,36.654114,-120.5797,Fresno,California
Midway Sunset cogeneration power station,A,78,GT,1989,,35.2269,-119.6294,Kern,California
Midway Sunset cogeneration power station,B,78,GT,1989,,35.2269,-119.6294,Kern,California
Midway Sunset cogeneration power station,C,78,GT,1989,,35.2269,-119.6294,Kern,California
Mint Farm generating station,CC1,319,CC,2008,,46.138824,-122.9855,Cowlitz,Washington
Mira Loma Peaker power station,1,50,GT,2007,,34.0053,-117.5604,San Bernardino,California
Miramar energy facility,1,53,GT,2005,,32.8769,-117.1664,San Diego,California
Miramar energy facility,2,53,GT,2009,,32.8769,-117.1664,San Diego,California
Mountainview generating station,3,518,CC,2005,,34.0818,-117.2418,San Bernardino,California
Mountainview generating station,4,518,CC,2006,,34.0818,-117.2418,San Bernardino,California
Naughton Power Plant,3,384,ST,2021,,41.7581,-110.5983,Lincoln,Wyoming
Nebo power station,CC1,140,CC,2004,,40.0614,-111.7294,Utah,Utah
Nevada cogeneration Associates 1 power station,CC1,95,CC,1992,,36.343229,-114.9207,Clark,Nevada
Nevada cogeneration Associates 2 power station,STG1,96,CC,1992,,36.2253,-114.8783,Clark,Nevada
Nevada Solar One power station,ONE,76,ST,2007,,35.799798,-114.9817,Clark,Nevada
Niland Gas Turbine Plant,1,61,GT,2008,,33.238842,-115.5045,Imperial,California
Niland Gas Turbine Plant,2,61,GT,2008,,33.238842,-115.5045,Imperial,California
Northeast (WA) power station,1,62,GT,1978,,47.73511,-117.3705,Spokane,Washington
Northern California Power Agency CT Project 2,NA1,50,GT,1996,,38.088138,-121.3869,San Joaquin,California
Ocotillo power station,GT1,53,GT,1972,,33.4225,-111.9122,Maricopa,Arizona
Ocotillo power station,GT2,53,GT,1973,,33.4225,-111.9122,Maricopa,Arizona
Ocotillo power station,GT3,162,GT,2019,,33.4225,-111.9122,Maricopa,Arizona
Ocotillo power station,GT4,162,GT,2019,,33.4225,-111.9122,Maricopa,Arizona
Ocotillo power station,GT5,162,GT,2019,,33.4225,-111.9122,Maricopa,Arizona
Ocotillo power station,GT6,162,GT,2019,,33.4225,-111.9122,Maricopa,Arizona
Ocotillo power station,GT7,162,GT,2019,,33.4225,-111.9122,Maricopa,Arizona
Orange Grove peaking facility,CTG1,59,GT,2010,,33.3594,-117.1114,San Diego,California
